xlsColumn,prismaField,status,matchType,confidence,sheet,sourceRef,completeness,candidates
Employee No.,employeeId,MATCH,alias,0.95,EXPATS,EXPATS!A1,,employeeId; employeeCode
Date Hired,employmentHireDate,MATCH,alias,0.95,EXPATS,EXPATS!C1,,employmentHireDate; hiredAt
Employee Name,,MISSING,none,0,EXPATS,EXPATS!D1,,
Division,departmentId,REFERENCE,alias,0.95,EXPATS,EXPATS!E1,,departmentId
Last Name,,MISSING,none,0,EXPATS,EXPATS!F1,,
First Name,,MISSING,none,0,EXPATS,EXPATS!G1,,
Middle Name,,MISSING,none,0,EXPATS,EXPATS!H1,,
Registered Address,metadata,MATCH,alias,0.95,EXPATS,EXPATS!I1,,metadata
Zip Code,,MISSING,none,0,EXPATS,EXPATS!J1,,
Birthday,metadata,MATCH,alias,0.95,EXPATS,EXPATS!K1,,metadata
TIN,metadata,MATCH,alias,0.95,EXPATS,EXPATS!L1,,employer; metadata
Status,,MISSING,none,0,EXPATS,EXPATS!M1,,
No. of Dependents,,MISSING,none,0,EXPATS,EXPATS!N1,,
Previous Employer,employmentHistory,REFERENCE,alias,0.95,EXPATS,EXPATS!O1,,employmentHistory
Position,positionId,REFERENCE,exact,1,EXPATS,EXPATS!P1,,
Period of Employment,employmentHistory,REFERENCE,alias,0.95,EXPATS,EXPATS!Q1,,employmentHistory
Active as of Dec.2024,employmentStatus,DERIVED,alias,0.95,EXPATS,EXPATS!R1,,employmentStatus
Date of Resignation,employmentTerminationDate,DERIVED,alias,0.95,EXPATS,EXPATS!S1,,employmentTerminationDate
REMARKS,,UNKNOWN,none,0,EXPATS,EXPATS!T1,,
